dataset,kaggle_reference,category,metadata_score,quality_score,decision_score,semantic_score,final_score,status,quality_status,rows,columns,missing_percentage,duplicate_percentage,decision_relevance,decision_variables,possible_decisions,numeric_variables,categorical_variables,low_value_domains,file_path,evaluated_at
Student Career Success Dataset,example/student-career-success,career,78.0,87.0,82.0,80.0,82.3,SHORTLIST,REVIEW,6,5,3.33,16.67,HIGH,career | salary,career selection | job selection | skill development | career planning,age | salary,,,.\data\quality_test\test_dataset.csv,2026-08-14T12:26:26
Student Placement & Career Success Dataset 2026,shambhurajejagadale/student-placement-and-career-success-dataset-2026,career,0,100.0,100.0,100.0,80.0,SHORTLIST,PASS,25000,44,0.21,0.0,HIGH,student_id | college_tier | degree | communication_skills | family_income_lpa | self_learning_hours | placement_status | company_type | salary_lpa | layoffs_risk_score | prompt_engineering_skill,course selection | education planning | academic planning | study strategy,age | city_tier | college_tier | cgpa | backlog_history | attendance_percentage | DSA_problems_solved | GitHub_repos | hackathons_participated | development_projects_count | AI_ML_projects | internships_completed | resume_score | communication_skills | aptitude_score | mock_interview_score | sleep_hours | screen_time | gaming_hours | study_hours_daily | stress_level | burnout_score | gym_frequency | family_income_lpa | self_learning_hours | motivation_level | salary_lpa | interview_rounds_cleared | offer_count | joining_delay_months | layoffs_risk_score | AI_tool_usage_frequency | prompt_engineering_skill | AI_fear_score | adaptability_score,,,data\kaggle_downloads\shambhurajejagadale_student-placement-and-career-success-dataset-2026\student_placement_career_success_dataset.csv,2026-08-14T12:39:13
Education & Career Success,adilshamim8/education-and-career-success,career,0,98.16,100.0,100.0,79.45,SHORTLIST,PASS,400,19,0.0,0.0,HIGH,Student_ID | University_GPA | Soft_Skills_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Current_Job_Level,career selection | job selection | skill development | career planning,Age | High_School_GPA | SAT_Score | University_GPA | Internships_Completed | Projects_Completed | Certifications | Soft_Skills_Score | Networking_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Work_Life_Balance,,,data\kaggle_downloads\adilshamim8_education-and-career-success\education_career_success.csv,2026-08-14T12:39:13
Brazilian E-Commerce Dataset,olistbr/brazilian-ecommerce,business,0,100.0,34.0,80.0,56.2,REVIEW,PASS,99441,5,0.0,0.0,LOW,customer_id | customer_unique_id | customer_zip_code_prefix | customer_city | customer_state,business strategy | customer strategy | product strategy | sales planning,customer_zip_code_prefix,,,data\kaggle_downloads\olistbr_brazilian-ecommerce\olist_customers_dataset.csv,2026-08-14T12:39:13
Student Placement & Career Success Dataset 2026,shambhurajejagadale/student-placement-and-career-success-dataset-2026,career,0,100.0,100.0,100.0,80.0,SHORTLIST,PASS,25000,44,0.21,0.0,HIGH,student_id | college_tier | degree | communication_skills | family_income_lpa | self_learning_hours | placement_status | company_type | salary_lpa | layoffs_risk_score | prompt_engineering_skill,course selection | education planning | academic planning | study strategy,age | city_tier | college_tier | cgpa | backlog_history | attendance_percentage | DSA_problems_solved | GitHub_repos | hackathons_participated | development_projects_count | AI_ML_projects | internships_completed | resume_score | communication_skills | aptitude_score | mock_interview_score | sleep_hours | screen_time | gaming_hours | study_hours_daily | stress_level | burnout_score | gym_frequency | family_income_lpa | self_learning_hours | motivation_level | salary_lpa | interview_rounds_cleared | offer_count | joining_delay_months | layoffs_risk_score | AI_tool_usage_frequency | prompt_engineering_skill | AI_fear_score | adaptability_score,,,data\kaggle_downloads\shambhurajejagadale_student-placement-and-career-success-dataset-2026\student_placement_career_success_dataset.csv,2026-08-14T12:39:41
Education & Career Success,adilshamim8/education-and-career-success,career,0,98.16,100.0,100.0,79.45,SHORTLIST,PASS,400,19,0.0,0.0,HIGH,Student_ID | University_GPA | Soft_Skills_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Current_Job_Level,career selection | job selection | skill development | career planning,Age | High_School_GPA | SAT_Score | University_GPA | Internships_Completed | Projects_Completed | Certifications | Soft_Skills_Score | Networking_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Work_Life_Balance,,,data\kaggle_downloads\adilshamim8_education-and-career-success\education_career_success.csv,2026-08-14T12:39:41
Brazilian E-Commerce Dataset,olistbr/brazilian-ecommerce,business,0,100.0,34.0,80.0,56.2,REVIEW,PASS,99441,5,0.0,0.0,LOW,customer_id | customer_unique_id | customer_zip_code_prefix | customer_city | customer_state,business strategy | customer strategy | product strategy | sales planning,customer_zip_code_prefix,,,data\kaggle_downloads\olistbr_brazilian-ecommerce\olist_customers_dataset.csv,2026-08-14T12:39:41
Student Placement & Career Success Dataset 2026,shambhurajejagadale/student-placement-and-career-success-dataset-2026,career,0,100.0,100.0,100.0,80.0,SHORTLIST,PASS,25000,44,0.21,0.0,HIGH,student_id | college_tier | degree | communication_skills | family_income_lpa | self_learning_hours | placement_status | company_type | salary_lpa | layoffs_risk_score | prompt_engineering_skill,course selection | education planning | academic planning | study strategy,age | city_tier | college_tier | cgpa | backlog_history | attendance_percentage | DSA_problems_solved | GitHub_repos | hackathons_participated | development_projects_count | AI_ML_projects | internships_completed | resume_score | communication_skills | aptitude_score | mock_interview_score | sleep_hours | screen_time | gaming_hours | study_hours_daily | stress_level | burnout_score | gym_frequency | family_income_lpa | self_learning_hours | motivation_level | salary_lpa | interview_rounds_cleared | offer_count | joining_delay_months | layoffs_risk_score | AI_tool_usage_frequency | prompt_engineering_skill | AI_fear_score | adaptability_score,,,data\kaggle_downloads\shambhurajejagadale_student-placement-and-career-success-dataset-2026\student_placement_career_success_dataset.csv,2026-08-14T12:54:28
Education & Career Success,adilshamim8/education-and-career-success,career,0,98.16,100.0,100.0,79.45,SHORTLIST,PASS,400,19,0.0,0.0,HIGH,Student_ID | University_GPA | Soft_Skills_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Current_Job_Level,career selection | job selection | skill development | career planning,Age | High_School_GPA | SAT_Score | University_GPA | Internships_Completed | Projects_Completed | Certifications | Soft_Skills_Score | Networking_Score | Job_Offers | Starting_Salary | Career_Satisfaction | Years_to_Promotion | Work_Life_Balance,,,data\kaggle_downloads\adilshamim8_education-and-career-success\education_career_success.csv,2026-08-14T12:54:28
Brazilian E-Commerce Dataset,olistbr/brazilian-ecommerce,business,0,100.0,34.0,80.0,56.2,REVIEW,PASS,99441,5,0.0,0.0,LOW,customer_id | customer_unique_id | customer_zip_code_prefix | customer_city | customer_state,business strategy | customer strategy | product strategy | sales planning,customer_zip_code_prefix,,,data\kaggle_downloads\olistbr_brazilian-ecommerce\olist_customers_dataset.csv,2026-08-14T12:54:28
